timeIndex,rho,rhoU,rhoE
128,0.00128,0.00197444,0.00156203,0.00096577
129,0.00129,0.00195677,0.00155912,0.000963667
130,0.0013,0.00193907,0.00155629,0.000961583
131,0.00131,0.00192136,0.00155352,0.000959517
132,0.00132,0.00190367,0.00155081,0.00095747
133,0.00133,0.00188601,0.00154817,0.000955441
134,0.00134,0.00186841,0.00154559,0.00095343
135,0.00135,0.0018509,0.00154306,0.000951437
136,0.00136,0.00183349,0.0015406,0.000949461
137,0.00137,0.00181622,0.00153819,0.000947504
138,0.00138,0.0017991,0.00153583,0.000945564
139,0.00139,0.00178217,0.00153353,0.000943642
140,0.0014,0.00176544,0.00153127,0.000941737
141,0.00141,0.00174894,0.00152907,0.000939849
142,0.00142,0.00173269,0.00152691,0.000937979
143,0.00143,0.00171671,0.00152479,0.000936125
144,0.00144,0.00170103,0.00152271,0.000934289
145,0.00145,0.00168566,0.00152068,0.00093247
146,0.00146,0.00167064,0.00151868,0.000930668
147,0.00147,0.00165596,0.00151671,0.000928882
148,0.00148,0.00164167,0.00151478,0.000927113
149,0.00149,0.00162776,0.00151288,0.000925362
150,0.0015,0.00161427,0.00151101,0.000923626
151,0.00151,0.0016012,0.00150916,0.000921908
152,0.00152,0.00158856,0.00150733,0.000920206
153,0.00153,0.00157638,0.00150552,0.000918521
154,0.00154,0.00156466,0.00150373,0.000916852
155,0.00155,0.00155341,0.00150196,0.000915199
156,0.00156,0.00154263,0.00150019,0.000913563
157,0.00157,0.00153235,0.00149844,0.000911943
158,0.00158,0.00152255,0.0014967,0.000910339
159,0.00159,0.00151324,0.00149496,0.000908752
160,0.0016,0.00150444,0.00149322,0.00090718
161,0.00161,0.00149613,0.00149149,0.000905625
162,0.00162,0.00148832,0.00148975,0.000904085
163,0.00163,0.001481,0.00148801,0.000902562
164,0.00164,0.00147417,0.00148627,0.000901054
165,0.00165,0.00146784,0.00148451,0.000899561
166,0.00166,0.00146198,0.00148275,0.000898084
167,0.00167,0.0014566,0.00148098,0.000896623
168,0.00168,0.00145168,0.0014792,0.000895176
169,0.00169,0.00144722,0.0014774,0.000893745
170,0.0017,0.00144321,0.00147559,0.000892329
171,0.00171,0.00143964,0.00147376,0.000890928
172,0.00172,0.00143649,0.00147191,0.000889541
173,0.00173,0.00143376,0.00147005,0.00088817
174,0.00174,0.00143143,0.00146817,0.000886812
175,0.00175,0.00142949,0.00146626,0.000885469
176,0.00176,0.00142792,0.00146434,0.00088414
177,0.00177,0.00142672,0.0014624,0.000882825
178,0.00178,0.00142586,0.00146043,0.000881524
179,0.00179,0.00142534,0.00145844,0.000880237
180,0.0018,0.00142513,0.00145643,0.000878963
181,0.00181,0.00142524,0.0014544,0.000877702
182,0.00182,0.00142563,0.00145235,0.000876454
183,0.00183,0.0014263,0.00145028,0.00087522
184,0.00184,0.00142723,0.00144818,0.000873998
185,0.00185,0.00142842,0.00144606,0.000872789
186,0.00186,0.00142984,0.00144393,0.000871592
187,0.00187,0.00143148,0.00144177,0.000870407
188,0.00188,0.00143334,0.00143959,0.000869235
189,0.00189,0.00143539,0.0014374,0.000868074
190,0.0019,0.00143762,0.00143518,0.000866925
191,0.00191,0.00144003,0.00143295,0.000865787
192,0.00192,0.0014426,0.00143071,0.000864661
193,0.00193,0.00144532,0.00142844,0.000863546
194,0.00194,0.00144817,0.00142616,0.000862442
195,0.00195,0.00145116,0.00142387,0.000861348
196,0.00196,0.00145427,0.00142157,0.000860265
197,0.00197,0.00145748,0.00141925,0.000859193
198,0.00198,0.00146079,0.00141693,0.00085813
199,0.00199,0.00146419,0.00141459,0.000857078
200,0.002,0.00146768,0.00141225,0.000856035
201,0.00201,0.00147123,0.0014099,0.000855003
202,0.00202,0.00147486,0.00140754,0.000853979
203,0.00203,0.00147854,0.00140518,0.000852965
204,0.00204,0.00148227,0.00140281,0.000851961
205,0.00205,0.00148605,0.00140044,0.000850965
206,0.00206,0.00148987,0.00139807,0.000849978
207,0.00207,0.00149371,0.0013957,0.000849
208,0.00208,0.00149759,0.00139333,0.00084803
209,0.00209,0.00150148,0.00139097,0.000847068
210,0.0021,0.00150539,0.0013886,0.000846115
211,0.00211,0.00150932,0.00138625,0.00084517
212,0.00212,0.00151324,0.00138389,0.000844233
213,0.00213,0.00151717,0.00138155,0.000843304
214,0.00214,0.0015211,0.00137921,0.000842382
215,0.00215,0.00152502,0.00137688,0.000841468
216,0.00216,0.00152894,0.00137455,0.000840561
217,0.00217,0.00153284,0.00137224,0.000839661
218,0.00218,0.00153672,0.00136995,0.000838768
219,0.00219,0.00154059,0.00136766,0.000837883
220,0.0022,0.00154443,0.00136539,0.000837004
221,0.00221,0.00154825,0.00136313,0.000836132
222,0.00222,0.00155204,0.00136089,0.000835266
223,0.00223,0.0015558,0.00135866,0.000834407
224,0.00224,0.00155954,0.00135646,0.000833555
225,0.00225,0.00156323,0.00135427,0.000832708
226,0.00226,0.0015669,0.00135209,0.000831868
227,0.00227,0.00157053,0.00134994,0.000831034
228,0.00228,0.00157412,0.00134781,0.000830205
229,0.00229,0.00157767,0.0013457,0.000829383
230,0.0023,0.00158118,0.00134361,0.000828566
231,0.00231,0.00158464,0.00134154,0.000827755
232,0.00232,0.00158807,0.00133949,0.000826949
233,0.00233,0.00159145,0.00133747,0.000826149
234,0.00234,0.00159478,0.00133547,0.000825354
235,0.00235,0.00159807,0.0013335,0.000824565
236,0.00236,0.00160132,0.00133155,0.00082378
237,0.00237,0.00160451,0.00132962,0.000823001
238,0.00238,0.00160766,0.00132772,0.000822227
239,0.00239,0.00161076,0.00132584,0.000821457
240,0.0024,0.00161381,0.001324,0.000820693
241,0.00241,0.00161681,0.00132217,0.000819933
242,0.00242,0.00161976,0.00132038,0.000819178
243,0.00243,0.00162266,0.00131861,0.000818427
244,0.00244,0.00162551,0.00131687,0.000817681
245,0.00245,0.00162831,0.00131515,0.00081694
246,0.00246,0.00163106,0.00131347,0.000816203
247,0.00247,0.00163376,0.00131181,0.00081547
248,0.00248,0.00163641,0.00131018,0.000814742
249,0.00249,0.00163901,0.00130857,0.000814017
250,0.0025,0.00164155,0.001307,0.000813297
251,0.00251,0.00164405,0.00130545,0.000812581
252,0.00252,0.00164649,0.00130393,0.000811869
253,0.00253,0.00164888,0.00130244,0.000811161
254,0.00254,0.00165123,0.00130098,0.000810457
255,0.00255,0.00165352,0.00129954,0.000809757
